885	333	32	62
885	332	32	64
885	332	32	63
885	332	32	64
885	332	32	64
885	332	33	64
884	332	33	65
884	331	34	66
885	331	34	66
884	331	34	66
884	331	35	66
885	331	36	67
884	332	36	69
884	332	37	68
885	332	37	69
886	333	35	67
886	332	35	68
887	331	35	69
887	331	34	68
888	331	34	67
886	332	35	67
887	333	34	66
887	333	33	67
886	333	34	65
885	334	34	64
884	333	35	63
885	333	34	62
885	333	34	63
886	333	34	61
886	332	33	61
886	333	33	61
886	333	33	61
887	333	33	62
888	333	33	62
888	334	33	61
889	333	33	61
888	334	33	61
888	334	33	62
889	334	32	63
889	334	33	63
890	334	32	61
890	334	33	62
890	333	32	62
891	334	31	61
892	335	30	59
893	334	29	58
894	335	28	56
894	335	28	59
896	336	28	59
895	334	30	59
895	333	32	63
893	333	34	66
892	334	35	70
899	338	37	76
895	335	36	65
895	337	37	69
892	339	37	70
901	338	34	70
894	338	37	68
897	338	35	69
892	337	40	78
891	340	40	71
891	343	44	76
892	342	45	83
892	344	53	84
893	344	56	87
924	343	35	96
919	344	38	92
896	340	44	84
891	344	44	85
897	340	40	93
896	345	46	87
913	346	42	87
896	345	48	85
901	345	49	87
902	343	44	84
901	341	42	82
902	340	42	79
901	342	46	78
905	345	45	79
904	340	42	90
901	343	42	83
900	345	43	80
904	344	48	88
902	341	46	80
909	343	43	86
908	338	40	72
908	342	42	70
909	340	40	80
900	345	47	79
906	343	39	74
908	340	37	71
904	340	41	70
908	340	38	71
907	338	39	77
907	338	38	76
909	338	37	74
908	338	36	71
908	338	39	79
907	341	37	70
908	339	36	70
908	338	36	68
909	337	37	69
910	337	38	70
911	337	37	69
911	337	37	70
911	337	37	70
913	338	35	69
912	341	38	69
913	339	38	77
907	342	40	74
912	340	38	70
912	340	37	65
914	340	35	63
912	340	38	63
909	341	42	64
910	342	41	66
909	342	42	68
908	342	42	73
908	341	42	71
910	340	39	69
911	340	39	66
908	341	40	66
901	340	41	67
897	342	39	69
894	343	40	71
893	344	40	70
894	344	40	69
892	343	42	74
888	345	42	81
889	343	41	89
889	343	41	79
890	343	41	71
890	344	42	67
890	344	40	69
889	345	41	66
888	345	42	66
886	347	45	66
888	347	42	69
886	347	44	69
888	347	43	69
886	347	47	69
884	348	49	72
886	349	47	72
889	349	46	73
891	350	43	72
891	349	44	71
889	349	44	70
892	349	40	72
890	350	40	70
888	350	43	68
890	349	41	72
889	348	43	75
890	349	42	70
891	349	41	67
891	351	40	65
889	352	42	69
891	351	42	69
888	351	43	74
889	351	43	74
887	351	43	75
889	351	43	76
888	352	43	76
888	352	43	77
886	352	44	78
887	352	45	78
887	351	44	79
887	351	44	80
